2.822145388443246250e-01 1.044604382482514494e-04 8.714638045131199907e-07
3.596318385570155818e-01 1.039179302637120380e-04 1.027238362173665596e-06
4.582863088256527995e-01 1.030787103244919798e-04 1.206541091016359055e-06
5.840037458856532915e-01 1.018155850989318155e-04 1.411263941855878196e-06
7.442080826774714053e-01 9.998905115816736399e-05 1.643359710698668112e-06
9.483597908820947664e-01 9.748800455293191018e-05 1.904425702000135936e-06
1.208514545725125178e+00 9.428201466915213998e-05 2.195477523344916770e-06
1.540035144120511790e+00 9.043451591221822840e-05 2.516672042769341383e-06
1.962498716722708814e+00 8.604408020195997348e-05 2.867105972137514213e-06
2.500852807055744087e+00 8.118346582464833010e-05 3.244493523922859263e-06
3.186888587118648086e+00 7.590248326841582405e-05 3.644877834954167675e-06
4.061118206578526291e+00 7.025070055364608581e-05 4.062359187033653179e-06
5.175167137774046466e+00 6.428758866113274057e-05 4.488892116029859721e-06
6.594822790558565906e+00 5.808624098974757261e-05 4.914143601794678022e-06
8.403919425407664789e+00 5.173480781879683009e-05 5.325480776554776744e-06
1.070928877874555063e+01 4.533628726088490029e-05 5.708074902873381859e-06
1.364706874744958043e+01 3.900662250928780276e-05 6.045167191857571143e-06
1.739074267632467752e+01 3.287086559616882040e-05 6.318521623322135021e-06
2.216138398882623761e+01 2.705714955047366428e-05 6.509144037992424079e-06
2.824071113241252462e+01 2.168843407739490158e-05 6.598412727949252362e-06
3.598772376610084933e+01 1.687252430573057290e-05 6.569788553872632461e-06
4.585990259922122902e+01 1.269160776693883794e-05 6.411170259037827990e-06
5.844022478551783450e+01 9.193424881974814519e-06 6.117754421974665402e-06
7.447159020001602414e+01 6.386209392002129573e-06 5.694608259919391657e-06
9.490069155746120089e+01 4.238600548211571293e-06 5.158022396921588711e-06
1.209339190138905167e+02 2.685430544816563049e-06 4.535236616887939614e-06
1.541086005595961694e+02 1.627185922179121453e-06 3.855423372292539814e-06
1.963837851290446395e+02 9.151119253498542416e-07 3.148250849692775860e-06
2.502559294002317927e+02 4.446299349902166181e-07 2.488803000012957991e-06
3.189063198818608384e+02 1.687396091571253251e-07 1.921962415269396405e-06
