2.540585989879277085e-01 1.141664072460433024e-04 9.968893267386385300e-07
3.240489041424882699e-01 1.122594206854873785e-04 1.079316635271487482e-06
4.133207562911002109e-01 1.100196363797096080e-04 1.175870566410321602e-06
5.271860061774169548e-01 1.074816484064540815e-04 1.336869628782194911e-06
6.724198600700176387e-01 1.046047249309636231e-04 1.544984844648032830e-06
8.576640178578980311e-01 1.013549738338932646e-04 1.791627324493141461e-06
1.093940871186579900e+00 9.771023023509513338e-05 2.078035756784728117e-06
1.395309357435033926e+00 9.364574086976914082e-05 2.397154362454459794e-06
1.779701494134696027e+00 8.915060674612203923e-05 2.747179106924373778e-06
2.269989369273430757e+00 8.422664838506260310e-05 3.127295802548209382e-06
2.895346075505625283e+00 7.888799351740361984e-05 3.534103854698455718e-06
3.692981566529993653e+00 7.316618509852285059e-05 3.963361029160828702e-06
4.710356722502902826e+00 6.711098217487108269e-05 4.408206791223269584e-06
6.008007365732972893e+00 6.079073555310541605e-05 4.858036162452476111e-06
7.663146261143791271e+00 5.429369430047640860e-05 5.299344729020928669e-06
9.774257427615154370e+00 4.772641082526011950e-05 5.715562071110362586e-06
1.246695613076168918e+01 4.121034476995986880e-05 6.087398090628610257e-06
1.590146323824200536e+01 3.487733367441895157e-05 6.394186979236128226e-06
2.028213867643676238e+01 2.886184001063177607e-05 6.614453653564021726e-06
2.586964124791391484e+01 2.329150157720718490e-05 6.727440178571307640e-06
3.299643834273118870e+01 1.827620208789173520e-05 6.715815457824481321e-06
4.208658840189586670e+01 1.389833500271572940e-05 6.567861544722935513e-06
5.368097322845729025e+01 1.020503540114592568e-05 6.280316487323051609e-06
6.846948151835798058e+01 7.204636513426856552e-06 5.860283085570567300e-06
8.733205859441338248e+01 4.866528184917903849e-06 5.326133154558965844e-06
1.113910648833106194e+02 3.129442748426942416e-06 4.706892282734108575e-06
1.420780585679637511e+02 1.914287721944601682e-06 4.039068847963628908e-06
1.812189761143598048e+02 1.101556467990825810e-06 3.344212155265750064e-06
2.311427790817366485e+02 5.561441462156085380e-07 2.668098127297815518e-06
2.948200319149409552e+02 2.204895611926593711e-07 2.076370533273267948e-06
