1.054210907367492817e-01 1.625308451923420938e-01
1.338626746791844457e-01 1.873763049733658814e-01
1.699775210731966357e-01 2.175769656871156255e-01
2.158358014243513257e-01 2.495580254236923756e-01
2.740661993560389864e-01 2.856046634661603134e-01
3.480065917414091881e-01 3.248226803086126657e-01
4.418953821377288871e-01 3.670425388205153516e-01
5.611144541185831836e-01 4.120322462062575020e-01
7.124976710498055477e-01 4.590663219593380528e-01
9.047226061015206655e-01 5.073587474438120415e-01
1.148807957203709540e+00 5.557695309327147504e-01
1.458745159714144091e+00 6.028908042147340662e-01
1.852300402035004678e+00 6.470199855371051578e-01
2.352033017234747447e+00 6.862050694360321001e-01
2.986588626814886904e+00 7.183243277279033334e-01
3.792341162075528960e+00 7.412040471278421583e-01
4.815477886859232726e+00 7.527919760297863139e-01
6.114646939132219572e+00 7.513316282503875732e-01
7.764319153508758120e+00 7.355137596217845575e-01
9.859056870763255986e+00 7.047122240781595881e-01
1.251893443058921029e+01 6.593812334956498100e-01
1.589642106053283754e+01 6.010432072374840562e-01
2.018512070135179215e+01 5.323736928263327339e-01
2.563086975216819852e+01 4.569974994960340209e-01
3.254582887922069290e+01 3.791280723662947549e-01
4.132637665742548450e+01 3.030666662644819209e-01
5.247583074222491462e+01 2.326608555985668902e-01
6.663329899239671761e+01 1.707453669594234669e-01
8.461031434491374625e+01 1.157115725989545790e-01
1.074373534223780808e+02 8.383606548164726502e-02
