1.054210907367492817e-01 1.266119253140859513e+02
1.338626746791844457e-01 1.244586999341053684e+02
1.699775210731966357e-01 1.219338517723921456e+02
2.158358014243513257e-01 1.190793199395072293e+02
2.740661993560389864e-01 1.158185040770704006e+02
3.480065917414091881e-01 1.121379249339864401e+02
4.418953821377288871e-01 1.080101011038564565e+02
5.611144541185831836e-01 1.034120867398726915e+02
7.124976710498055477e-01 9.833524621683670830e+01
9.047226061015206655e-01 9.277913403198179765e+01
1.148807957203709540e+00 8.675984853749504566e+01
1.458745159714144091e+00 8.031072399854521393e+01
1.852300402035004678e+00 7.348577482427943153e+01
2.352033017234747447e+00 6.636122838657591672e+01
2.986588626814886904e+00 5.903649508282203584e+01
3.792341162075528960e+00 5.163237151914948697e+01
4.815477886859232726e+00 4.428747293775374771e+01
6.114646939132219572e+00 3.715276514338478364e+01
7.764319153508758120e+00 3.038505823104582859e+01
9.859056870763255986e+00 2.413701835140691898e+01
1.251893443058921029e+01 1.854085542035238632e+01
1.589642106053283754e+01 1.369805471483301140e+01
2.018512070135179215e+01 9.667522787464768896e+00
2.563086975216819852e+01 6.458391667736056441e+00
3.254582887922069290e+01 4.030981608696331264e+00
4.132637665742548450e+01 2.302843296897407299e+00
5.247583074222491462e+01 1.161558370422735464e+00
6.663329899239671761e+01 4.822095874471985510e-01
8.461031434491374625e+01 2.148301999870472767e-01
1.074373534223780808e+02 -4.187476630022810009e-02
