1.000000000000000056e-01 1.463307933785232828e-01 1.274365396795396634e+02
1.072267222010323123e-01 1.527906751939896446e-01 1.261037745795804597e+02
1.149756995397735598e-01 1.595560764845361246e-01 1.242761401274220532e+02
1.232846739442066269e-01 1.666136044106506231e-01 1.244716728669716161e+02
1.321941148466029003e-01 1.739097978410227285e-01 1.241997815428702694e+02
1.417474162926805059e-01 1.814667440746065563e-01 1.228312210456061564e+02
1.519911082952933867e-01 1.892298776664221305e-01 1.221276098125704692e+02
1.629750834620644351e-01 1.972086472579925309e-01 1.221699158987708387e+02
1.747528400007683780e-01 2.054312688995799663e-01 1.213522613611906706e+02
1.873817422860384052e-01 2.139020062880420125e-01 1.205005748254503146e+02
2.009233002565046777e-01 2.226511776866243464e-01 1.195390362529644648e+02
2.154434690031883926e-01 2.316559265138848633e-01 1.179771364538667058e+02
2.310129700083159709e-01 2.409467868168584659e-01 1.176862895836907796e+02
2.477076355991710832e-01 2.504851493234535598e-01 1.161755463128186676e+02
2.656087782946686682e-01 2.602569664758195289e-01 1.152650088934182691e+02
2.848035868435802032e-01 2.702641429196100398e-01 1.142438274408006151e+02
3.053855508833415722e-01 2.805002103677153302e-01 1.134140300338453358e+02
3.274549162877728459e-01 2.909762325248453352e-01 1.123572884331953219e+02
3.511191734215131088e-01 3.016839761582477686e-01 1.114091788496200905e+02
3.764935806792468198e-01 3.126303754717449923e-01 1.102303923713899820e+02
4.037017258596554692e-01 3.238009670157829256e-01 1.087784470347410348e+02
4.328761281083058354e-01 3.351810228538505410e-01 1.077366385775043796e+02
4.641588833612779741e-01 3.467497968053945834e-01 1.064145797649088934e+02
4.977023564332111460e-01 3.584991677147589262e-01 1.051036446206471595e+02
5.336699231206309957e-01 3.704143917515111961e-01 1.037234359258463741e+02
5.722367659350217073e-01 3.824822065485616318e-01 1.023183412567774440e+02
6.135907273413172547e-01 3.946948935780366652e-01 1.008887186622238801e+02
6.579332246575680943e-01 4.070339586508620600e-01 9.942710562396541718e+01
7.054802310718644165e-01 4.194810417742796949e-01 9.792421298486900128e+01
7.564633275546288615e-01 4.320125882271911855e-01 9.637676235670225822e+01
8.111308307896872849e-01 4.446044926327982760e-01 9.478681178053570022e+01
8.697490026177834288e-01 4.572296586352515013e-01 9.315899986214397188e+01
9.326033468832198858e-01 4.698645284464801897e-01 9.149581417055853194e+01
1.000000000000000000e+00 4.824824921147780055e-01 8.979690433975152075e+01
1.072267222010323096e+00 4.950575625002443525e-01 8.806059918701711808e+01
1.149756995397735571e+00 5.075607750553216002e-01 8.628648121684264538e+01
1.232846739442065909e+00 5.199603982260747603e-01 8.447619499430481937e+01
1.321941148466029281e+00 5.322218407883934077e-01 8.263226652244249237e+01
1.417474162926805503e+00 5.443097784943724537e-01 8.075666462919106436e+01
1.519911082952933867e+00 5.561871894937325811e-01 7.885021258583719828e+01
1.629750834620644406e+00 5.678156606403541584e-01 7.691348722016921613e+01
1.747528400007683835e+00 5.791580427990427049e-01 7.494762091759284317e+01
1.873817422860383886e+00 5.901748121119557711e-01 7.295481858462501634e+01
2.009233002565046888e+00 6.008257530887910480e-01 7.093761308686747213e+01
2.154434690031884259e+00 6.110691067913948116e-01 6.889837433759424812e+01
2.310129700083160209e+00 6.208619537961859169e-01 6.683897473650254994e+01
2.477076355991711498e+00 6.301599160953894607e-01 6.476135674747339976e+01
2.656087782946686904e+00 6.389186587379024340e-01 6.266783012340852821e+01
2.848035868435801810e+00 6.470937349978428399e-01 6.056129138560342540e+01
3.053855508833415389e+00 6.546407557984992298e-01 5.844480546016559686e+01
3.274549162877728570e+00 6.615152274926837661e-01 5.632140141086869534e+01
3.511191734215131088e+00 6.676734229146893407e-01 5.419390711009621242e+01
3.764935806792467421e+00 6.730716390650075542e-01 5.206528195266199077e+01
4.037017258596556246e+00 6.776660674078149871e-01 4.993875238089933788e+01
4.328761281083059131e+00 6.814145402326580170e-01 4.781785374243003872e+01
4.641588833612779297e+00 6.842759978909327412e-01 4.570620721006039844e+01
4.977023564332111683e+00 6.862103912430906894e-01 4.360742510290614860e+01
5.336699231206309513e+00 6.871804696697226822e-01 4.152502870375305122e+01
5.722367659350217295e+00 6.871514781418207596e-01 3.946261692034094892e+01
6.135907273413172547e+00 6.860904129734234358e-01 3.742394119278826281e+01
6.579332246575682497e+00 6.839679446076938341e-01 3.541286807884446830e+01
7.054802310718645053e+00 6.807585049671229793e-01 3.343324365968432943e+01
7.564633275546290392e+00 6.764392579718609966e-01 3.148885394663008341e+01
8.111308307896871739e+00 6.709926681069483534e-01 2.958336608157080505e+01
8.697490026177835176e+00 6.644066348123474075e-01 2.772039282532010063e+01
9.326033468832198636e+00 6.566732734870467381e-01 2.590354435353986062e+01
1.000000000000000000e+01 6.477912471564349906e-01 2.413634927982378997e+01
1.072267222010323096e+01 6.377669480516092726e-01 2.242214628515016628e+01
1.149756995397735615e+01 6.266121979200935943e-01 2.076408397630891400e+01
1.232846739442065953e+01 6.143460405142321390e-01 1.916508325204920737e+01
1.321941148466028793e+01 6.009973093182690018e-01 1.762779409532855368e+01
1.417474162926804837e+01 5.866011241001221066e-01 1.615466992404588353e+01
1.519911082952933157e+01 5.711999724980060256e-01 1.474790660747552806e+01
1.629750834620645250e+01 5.548472552924017531e-01 1.340931109760664519e+01
1.747528400007684724e+01 5.376033710207497318e-01 1.214034052174518408e+01
1.873817422860384951e+01 5.195353954646079186e-01 1.094210966543820618e+01
2.009233002565047954e+01 5.007208554827099478e-01 9.815299812153039483e+00
2.154434690031884614e+01 4.812447339754288844e-01 8.760207474610389511e+00
2.310129700083160387e+01 4.611959063103641121e-01 7.776789345766579764e+00
2.477076355991711409e+01 4.406720543351079766e-01 6.864525678245430029e+00
2.656087782946686815e+01 4.197746278670910214e-01 6.022499351106548993e+00
2.848035868435801987e+01 3.986041794811854833e-01 5.249507550607848572e+00
3.053855508833415655e+01 3.772655819573693114e-01 4.543953473495067286e+00
3.274549162877728037e+01 3.558644399518426371e-01 3.903918205231401206e+00
3.511191734215130822e+01 3.345028036994767695e-01 3.327247959401981259e+00
3.764935806792467332e+01 3.132855721861882992e-01 2.811414268288543461e+00
4.037017258596554115e+01 2.923175199517197842e-01 2.353565552281691620e+00
4.328761281083057355e+01 2.717006949762600376e-01 1.950600176013841169e+00
