### header ###
Covariance matrix for monopole, quadrupole and hexadecapole calculated from the 2045 mocks
5 columns: {measured power spectrum bin index i} {measured power spectrum bin index j} k_i k_j C_ij
### header ###
1 1 0.0157673 0.0157673 2.96738e+07
1 2 0.0157673 0.0254842 3.40642e+06
1 3 0.0157673 0.0353452 218179
1 4 0.0157673 0.0452647 118023
1 5 0.0157673 0.0552107 80310.8
1 6 0.0157673 0.0651922 -36621.1
1 7 0.0157673 0.0751594 95846.4
1 8 0.0157673 0.0851518 31076.3
1 9 0.0157673 0.095133 85572.7
1 10 0.0157673 0.105125 16084.7
1 11 0.0157673 0.115119 24756.7
1 12 0.0157673 0.125099 44568.4
1 13 0.0157673 0.135096 22691.2
1 14 0.0157673 0.145096 35694.1
1 61 0.0157673 0.0157673 1.37856e+07
1 62 0.0157673 0.0254842 7.77916e+06
1 63 0.0157673 0.0353452 303086
1 64 0.0157673 0.0452647 505424
1 65 0.0157673 0.0552107 93003.4
1 66 0.0157673 0.0651922 -68591
1 67 0.0157673 0.0751594 55716.3
1 68 0.0157673 0.0851518 78674.1
1 69 0.0157673 0.095133 113046
1 70 0.0157673 0.105125 46655.6
1 71 0.0157673 0.115119 26739.8
1 72 0.0157673 0.125099 -5953.7
1 73 0.0157673 0.135096 5685.73
1 74 0.0157673 0.145096 28847
1 121 0.0157673 0.0157673 1.37261e+06
1 122 0.0157673 0.0254842 771304
1 123 0.0157673 0.0353452 297431
1 124 0.0157673 0.0452647 666234
1 125 0.0157673 0.0552107 194237
1 126 0.0157673 0.0651922 217626
1 127 0.0157673 0.0751594 267333
1 128 0.0157673 0.0851518 108842
1 129 0.0157673 0.095133 -14053.7
2 1 0.0254842 0.0157673 3.40642e+06
2 2 0.0254842 0.0254842 8.72706e+06
2 3 0.0254842 0.0353452 1.08598e+06
2 4 0.0254842 0.0452647 254186
2 5 0.0254842 0.0552107 152801
2 6 0.0254842 0.0651922 19912.7
2 7 0.0254842 0.0751594 17145.3
2 8 0.0254842 0.0851518 30238.1
2 9 0.0254842 0.095133 35068.3
2 10 0.0254842 0.105125 39547.7
2 11 0.0254842 0.115119 29408.7
2 12 0.0254842 0.125099 20907
2 13 0.0254842 0.135096 25894.2
2 14 0.0254842 0.145096 19061.9
2 61 0.0254842 0.0157673 4.34365e+06
2 62 0.0254842 0.0254842 5.20879e+06
2 63 0.0254842 0.0353452 2.17616e+06
2 64 0.0254842 0.0452647 408319
2 65 0.0254842 0.0552107 376372
2 66 0.0254842 0.0651922 108239
2 67 0.0254842 0.0751594 107630
2 68 0.0254842 0.0851518 68553.7
2 69 0.0254842 0.095133 -10759.1
2 70 0.0254842 0.105125 -8319.8
2 71 0.0254842 0.115119 69046.5
2 72 0.0254842 0.125099 35621.2
2 73 0.0254842 0.135096 7913.96
2 74 0.0254842 0.145096 25440.7
2 121 0.0254842 0.0157673 2.13793e+06
2 122 0.0254842 0.0254842 631270
2 123 0.0254842 0.0353452 172529
2 124 0.0254842 0.0452647 84129.1
2 125 0.0254842 0.0552107 191453
2 126 0.0254842 0.0651922 256431
2 127 0.0254842 0.0751594 -7208.74
2 128 0.0254842 0.0851518 -39049.1
2 129 0.0254842 0.095133 14962
3 1 0.0353452 0.0157673 218179
3 2 0.0353452 0.0254842 1.08598e+06
3 3 0.0353452 0.0353452 2.98988e+06
3 4 0.0353452 0.0452647 426591
3 5 0.0353452 0.0552107 112100
3 6 0.0353452 0.0651922 91487.4
3 7 0.0353452 0.0751594 25109.8
3 8 0.0353452 0.0851518 41957.9
3 9 0.0353452 0.095133 37031.6
3 10 0.0353452 0.105125 34193.5
3 11 0.0353452 0.115119 26663
3 12 0.0353452 0.125099 22789.3
3 13 0.0353452 0.135096 27000.3
3 14 0.0353452 0.145096 21716.1
3 61 0.0353452 0.0157673 -51585.8
3 62 0.0353452 0.0254842 1.33826e+06
3 63 0.0353452 0.0353452 1.5517e+06
3 64 0.0353452 0.0452647 838006
3 65 0.0353452 0.0552107 182826
3 66 0.0353452 0.0651922 129461
3 67 0.0353452 0.0751594 64021.2
3 68 0.0353452 0.0851518 27552.2
3 69 0.0353452 0.095133 72866.9
3 70 0.0353452 0.105125 32913.7
3 71 0.0353452 0.115119 45342.1
3 72 0.0353452 0.125099 20384.9
3 73 0.0353452 0.135096 25270.3
3 74 0.0353452 0.145096 32539.5
3 121 0.0353452 0.0157673 539908
3 122 0.0353452 0.0254842 509159
3 123 0.0353452 0.0353452 71652.3
3 124 0.0353452 0.0452647 31658.1
3 125 0.0353452 0.0552107 -6613.38
3 126 0.0353452 0.0651922 44688.4
