### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.61
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1800 Ly = 3400 Lz = 1900
nx = 340 ny = 650 nz = 360
xoffset = -982.047 yoffset = -47.9468 zoffset = 798.097
bins = 120 dk = 0.005
kx_ny = 0.593412 ky_ny = 0.600599 kz_ny = 0.595249
############################
A(data) = 8.68915 (not used)
A(ran) = 8.81219 (used)
Ngal = 435742
weighted Ngal = 142822
Nran = 22768186
weighted Nran = 7.1241e+06
SN(data) = 6346.91
SN(ran) = 124.442
SN(data+ran) = 6471.36
############################
4 columns: k_central k_mean P_0(k) sig_ii_0
### header ###
0.015767 0.016011 64952.051836 5447.366336
0.025484 0.025695 52187.582632 2954.159779
0.035345 0.035505 44549.732231 1729.126947
0.045265 0.045343 35278.153719 1152.219597
0.055211 0.055272 30348.721135 802.236249
0.065192 0.065246 27375.507505 600.032499
0.075159 0.075218 23389.629719 461.279742
0.085152 0.085200 19720.166785 370.175634
0.095133 0.095184 16803.253803 285.490280
0.105125 0.105170 14349.731493 229.993043
0.115119 0.115157 12792.761603 200.846708
0.125099 0.125136 12121.563659 170.419482
0.135096 0.135137 10624.615736 148.687256
0.145096 0.145126 9405.931519 130.773851
