### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.51
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1500 Ly = 2850 Lz = 1600
nx = 290 ny = 540 nz = 300
xoffset = -822.287 yoffset = -36.2185 zoffset = 665.927
bins = 120 dk = 0.005
kx_ny = 0.607375 ky_ny = 0.595249 kz_ny = 0.589049
############################
A(data) = 9.25589 (not used)
A(ran) = 9.37569 (used)
Ngal = 500875
weighted Ngal = 123760
Nran = 26017553
weighted Nran = 6.10998e+06
SN(data) = 3327.9
SN(ran) = 64.8197
SN(data+ran) = 3392.72
############################
4 columns: k_central k_mean P_0(k) sig_ii_0
### header ###
0.015791 0.016128 65356.244724 5978.770777
0.025500 0.025676 52991.180000 3229.969040
0.035408 0.035491 44882.631520 1856.469768
0.045207 0.045343 34840.587550 1194.185915
0.055217 0.055296 30762.300643 871.399449
0.065182 0.065244 28477.477604 632.304515
0.075184 0.075207 23347.400521 467.028907
0.085147 0.085193 20085.785258 369.117867
0.095121 0.095171 16838.357245 282.148542
0.105130 0.105161 14649.016973 234.197353
0.115119 0.115156 12718.178166 191.604541
0.125104 0.125142 11879.404084 165.368074
0.135090 0.135119 10567.456517 141.270662
0.145076 0.145104 9699.190643 123.571437
