### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.38
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1000 Ly = 1900 Lz = 1100
nx = 190 ny = 360 nz = 210
xoffset = 860.662 yoffset = 18.9864 zoffset = 261.444
bins = 120 dk = 0.005
kx_ny = 0.596903 ky_ny = 0.595249 kz_ny = 0.599759
############################
A(data) = 3.14154 (not used)
A(ran) = 3.16884 (used)
Ngal = 174820
weighted Ngal = 41331
Nran = 8582357
weighted Nran = 1.96154e+06
SN(data) = 3129.11
SN(ran) = 64.1167
SN(data+ran) = 3193.23
############################
4 columns: k_central k_mean P_0(k) sig_ii_0
### header ###
0.015807 0.016341 76523.287402 9989.979980
0.025602 0.025774 62355.225904 5661.978453
0.035250 0.035495 50268.317665 3201.843219
0.045257 0.045299 39018.375589 2037.321771
0.055211 0.055259 32913.254837 1451.926307
0.065177 0.065276 28515.704232 1097.023245
0.075168 0.075182 24167.518508 878.666603
0.085159 0.085227 19811.429580 663.433493
0.095128 0.095212 16958.381282 511.577951
0.105097 0.105165 15149.716641 415.311931
0.115096 0.115131 12825.465100 345.060864
0.125104 0.125088 12060.652717 276.886981
0.135112 0.135122 11138.503911 246.769325
0.145098 0.145123 9588.484417 216.519745
