### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.51
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1500 Ly = 2850 Lz = 1600
nx = 290 ny = 540 nz = 300
xoffset = -822.287 yoffset = -36.2185 zoffset = 665.927
bins = 120 dk = 0.005
kx_ny = 0.607375 ky_ny = 0.595249 kz_ny = 0.589049
############################
A(data) = 9.25589 (not used)
A(ran) = 9.37569 (used)
Ngal = 500875
weighted Ngal = 123760
Nran = 26017553
weighted Nran = 6.10998e+06
SN(data) = 3327.9
SN(ran) = 64.8197
SN(data+ran) = 3392.72
############################
4 columns: k_central k_mean P_2(k) sig_ii_2
### header ###
0.015791 0.016128 19337.418593 12954.149914
0.025500 0.025676 20553.780000 7341.525727
0.035408 0.035491 15057.263602 4437.375350
0.045207 0.045343 14653.827070 2653.034112
0.055217 0.055296 12280.964309 1921.783026
0.065182 0.065244 11684.525521 1499.876662
0.075184 0.075207 9191.794942 1135.222445
0.085147 0.085193 6967.467154 832.918363
0.095121 0.095171 6473.990490 666.855307
0.105130 0.105161 5018.034685 521.549614
0.115119 0.115156 4283.049008 437.513428
0.125104 0.125142 4200.754862 368.468452
0.135090 0.135119 3343.066119 319.724882
0.145076 0.145104 3078.748332 271.158441
